16.11.2020 21:19:47 - name: ivysaur; abilities: overgrow, chlorophyll
16.11.2020 21:20:11 - name: blastoise; abilities: torrent, rain-dish
16.11.2020 21:20:12 - name: caterpie; abilities: shield-dust, run-away
16.11.2020 21:20:12 - name: metapod; abilities: shed-skin
16.11.2020 21:20:12 - name: butterfree; abilities: compound-eyes, tinted-lens
16.11.2020 21:20:12 - name: weedle; abilities: shield-dust, run-away
16.11.2020 21:20:13 - name: kakuna; abilities: shed-skin
16.11.2020 21:20:13 - name: beedrill; abilities: swarm, sniper
16.11.2020 21:20:13 - name: pidgey; abilities: keen-eye, tangled-feet, big-pecks
16.11.2020 21:20:14 - name: pidgeotto; abilities: keen-eye, tangled-feet, big-pecks
16.11.2020 21:20:14 - name: pidgeot; abilities: keen-eye, tangled-feet, big-pecks
16.11.2020 21:20:14 - name: rattata; abilities: run-away, guts, hustle
16.11.2020 21:20:15 - name: raticate; abilities: run-away, guts, hustle
16.11.2020 21:20:15 - name: spearow; abilities: keen-eye, sniper
16.11.2020 21:20:15 - name: fearow; abilities: keen-eye, sniper
16.11.2020 21:20:16 - name: ekans; abilities: intimidate, shed-skin, unnerve
16.11.2020 21:20:16 - name: arbok; abilities: intimidate, shed-skin, unnerve
17.11.2020 14:59:51 - name: ivysaur; abilities: overgrow, chlorophyll
17.11.2020 14:59:52 - name: venusaur; abilities: overgrow, chlorophyll
17.11.2020 14:59:53 - name: charmander; abilities: blaze, solar-power
17.11.2020 14:59:53 - name: charmeleon; abilities: blaze, solar-power
17.11.2020 14:59:54 - name: charizard; abilities: blaze, solar-power
17.11.2020 14:59:54 - name: squirtle; abilities: torrent, rain-dish
17.11.2020 14:59:55 - name: wartortle; abilities: torrent, rain-dish
17.11.2020 14:59:55 - name: blastoise; abilities: torrent, rain-dish
17.11.2020 14:59:55 - name: caterpie; abilities: shield-dust, run-away
17.11.2020 14:59:56 - name: metapod; abilities: shed-skin
17.11.2020 14:59:56 - name: butterfree; abilities: compound-eyes, tinted-lens
17.11.2020 14:59:57 - name: weedle; abilities: shield-dust, run-away
17.11.2020 14:59:57 - name: kakuna; abilities: shed-skin
17.11.2020 14:59:57 - name: beedrill; abilities: swarm, sniper
17.11.2020 14:59:58 - name: pidgey; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 14:59:58 - name: pidgeotto; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 14:59:59 - name: pidgeot; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 15:00:00 - name: rattata; abilities: run-away, guts, hustle
17.11.2020 15:00:00 - name: raticate; abilities: run-away, guts, hustle
17.11.2020 15:00:01 - name: spearow; abilities: keen-eye, sniper
17.11.2020 15:00:03 - name: venusaur; abilities: overgrow, chlorophyll
17.11.2020 15:00:03 - name: charmander; abilities: blaze, solar-power
17.11.2020 15:00:04 - name: charmeleon; abilities: blaze, solar-power
17.11.2020 15:00:05 - name: charizard; abilities: blaze, solar-power
17.11.2020 15:00:06 - name: squirtle; abilities: torrent, rain-dish
17.11.2020 15:00:06 - name: wartortle; abilities: torrent, rain-dish
17.11.2020 15:00:07 - name: blastoise; abilities: torrent, rain-dish
17.11.2020 15:00:07 - name: caterpie; abilities: shield-dust, run-away
17.11.2020 15:00:07 - name: metapod; abilities: shed-skin
17.11.2020 15:00:08 - name: butterfree; abilities: compound-eyes, tinted-lens
17.11.2020 15:00:08 - name: weedle; abilities: shield-dust, run-away
17.11.2020 15:00:08 - name: kakuna; abilities: shed-skin
17.11.2020 15:00:08 - name: beedrill; abilities: swarm, sniper
17.11.2020 15:00:09 - name: pidgey; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 15:00:09 - name: pidgeotto; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 15:00:10 - name: pidgeot; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 15:00:10 - name: rattata; abilities: run-away, guts, hustle
17.11.2020 15:00:11 - name: raticate; abilities: run-away, guts, hustle
17.11.2020 15:00:11 - name: spearow; abilities: keen-eye, sniper
17.11.2020 15:00:11 - name: fearow; abilities: keen-eye, sniper
17.11.2020 15:00:12 - name: charmander; abilities: blaze, solar-power
17.11.2020 15:00:13 - name: charmeleon; abilities: blaze, solar-power
17.11.2020 15:00:15 - name: charizard; abilities: blaze, solar-power
17.11.2020 15:00:16 - name: squirtle; abilities: torrent, rain-dish
17.11.2020 15:00:16 - name: wartortle; abilities: torrent, rain-dish
17.11.2020 15:00:17 - name: blastoise; abilities: torrent, rain-dish
17.11.2020 15:00:17 - name: caterpie; abilities: shield-dust, run-away
17.11.2020 15:00:17 - name: metapod; abilities: shed-skin
17.11.2020 15:00:18 - name: butterfree; abilities: compound-eyes, tinted-lens
17.11.2020 15:00:18 - name: weedle; abilities: shield-dust, run-away
17.11.2020 15:00:19 - name: kakuna; abilities: shed-skin
17.11.2020 15:00:19 - name: beedrill; abilities: swarm, sniper
17.11.2020 15:00:20 - name: pidgey; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 15:00:20 - name: pidgeotto; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 15:00:21 - name: pidgeot; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 15:00:21 - name: rattata; abilities: run-away, guts, hustle
17.11.2020 15:00:22 - name: raticate; abilities: run-away, guts, hustle
17.11.2020 15:00:22 - name: spearow; abilities: keen-eye, sniper
17.11.2020 15:00:23 - name: fearow; abilities: keen-eye, sniper
17.11.2020 15:00:23 - name: ekans; abilities: intimidate, shed-skin, unnerve
17.11.2020 15:00:24 - name: charmeleon; abilities: blaze, solar-power
17.11.2020 15:00:24 - name: charizard; abilities: blaze, solar-power
17.11.2020 15:00:25 - name: squirtle; abilities: torrent, rain-dish
17.11.2020 15:00:25 - name: wartortle; abilities: torrent, rain-dish
17.11.2020 15:00:25 - name: blastoise; abilities: torrent, rain-dish
17.11.2020 15:00:26 - name: caterpie; abilities: shield-dust, run-away
17.11.2020 15:00:26 - name: metapod; abilities: shed-skin
17.11.2020 15:00:26 - name: butterfree; abilities: compound-eyes, tinted-lens
17.11.2020 15:00:27 - name: weedle; abilities: shield-dust, run-away
17.11.2020 15:00:27 - name: kakuna; abilities: shed-skin
17.11.2020 15:00:28 - name: beedrill; abilities: swarm, sniper
17.11.2020 15:00:29 - name: pidgey; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 15:00:29 - name: pidgeotto; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 15:00:30 - name: pidgeot; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 15:00:31 - name: rattata; abilities: run-away, guts, hustle
17.11.2020 17:49:07 - name: ivysaur; abilities: overgrow, chlorophyll
17.11.2020 17:49:07 - name: venusaur; abilities: overgrow, chlorophyll
17.11.2020 17:49:08 - name: charmander; abilities: blaze, solar-power
17.11.2020 17:49:08 - name: charmeleon; abilities: blaze, solar-power
17.11.2020 17:49:09 - name: charizard; abilities: blaze, solar-power
17.11.2020 17:49:09 - name: squirtle; abilities: torrent, rain-dish
17.11.2020 17:49:10 - name: wartortle; abilities: torrent, rain-dish
17.11.2020 17:49:10 - name: blastoise; abilities: torrent, rain-dish
17.11.2020 17:49:10 - name: caterpie; abilities: shield-dust, run-away
17.11.2020 17:49:11 - name: metapod; abilities: shed-skin
17.11.2020 17:49:11 - name: butterfree; abilities: compound-eyes, tinted-lens
17.11.2020 17:49:11 - name: weedle; abilities: shield-dust, run-away
17.11.2020 17:49:11 - name: kakuna; abilities: shed-skin
17.11.2020 17:49:12 - name: beedrill; abilities: swarm, sniper
17.11.2020 17:49:12 - name: pidgey; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 17:49:13 - name: pidgeotto; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 17:49:13 - name: pidgeot; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 17:49:14 - name: rattata; abilities: run-away, guts, hustle
17.11.2020 17:49:14 - name: raticate; abilities: run-away, guts, hustle
17.11.2020 17:49:14 - name: spearow; abilities: keen-eye, sniper
17.11.2020 17:49:15 - name: venusaur; abilities: overgrow, chlorophyll
17.11.2020 17:49:16 - name: charmander; abilities: blaze, solar-power
17.11.2020 17:49:16 - name: charmeleon; abilities: blaze, solar-power
17.11.2020 17:49:17 - name: charizard; abilities: blaze, solar-power
17.11.2020 17:49:17 - name: squirtle; abilities: torrent, rain-dish
17.11.2020 17:49:18 - name: wartortle; abilities: torrent, rain-dish
17.11.2020 17:49:18 - name: blastoise; abilities: torrent, rain-dish
17.11.2020 17:49:19 - name: caterpie; abilities: shield-dust, run-away
17.11.2020 17:49:19 - name: metapod; abilities: shed-skin
17.11.2020 17:49:19 - name: butterfree; abilities: compound-eyes, tinted-lens
17.11.2020 17:49:20 - name: weedle; abilities: shield-dust, run-away
17.11.2020 17:49:20 - name: kakuna; abilities: shed-skin
17.11.2020 17:49:20 - name: beedrill; abilities: swarm, sniper
17.11.2020 17:49:21 - name: pidgey; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 17:49:21 - name: pidgeotto; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 17:49:22 - name: pidgeot; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 17:49:22 - name: rattata; abilities: run-away, guts, hustle
17.11.2020 17:49:23 - name: raticate; abilities: run-away, guts, hustle
17.11.2020 17:49:24 - name: spearow; abilities: keen-eye, sniper
17.11.2020 17:49:24 - name: fearow; abilities: keen-eye, sniper
17.11.2020 17:49:25 - name: charmander; abilities: blaze, solar-power
17.11.2020 17:49:25 - name: charmeleon; abilities: blaze, solar-power
17.11.2020 17:49:26 - name: charizard; abilities: blaze, solar-power
17.11.2020 17:49:27 - name: squirtle; abilities: torrent, rain-dish
17.11.2020 17:49:27 - name: wartortle; abilities: torrent, rain-dish
17.11.2020 17:49:28 - name: blastoise; abilities: torrent, rain-dish
17.11.2020 17:49:28 - name: caterpie; abilities: shield-dust, run-away
17.11.2020 17:49:28 - name: metapod; abilities: shed-skin
17.11.2020 17:49:28 - name: butterfree; abilities: compound-eyes, tinted-lens
17.11.2020 17:49:29 - name: weedle; abilities: shield-dust, run-away
17.11.2020 17:49:29 - name: kakuna; abilities: shed-skin
17.11.2020 17:49:29 - name: beedrill; abilities: swarm, sniper
17.11.2020 17:49:30 - name: pidgey; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 17:49:30 - name: pidgeotto; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 17:49:31 - name: pidgeot; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 17:49:31 - name: rattata; abilities: run-away, guts, hustle
17.11.2020 17:49:32 - name: raticate; abilities: run-away, guts, hustle
17.11.2020 17:49:33 - name: spearow; abilities: keen-eye, sniper
17.11.2020 17:49:33 - name: fearow; abilities: keen-eye, sniper
17.11.2020 17:49:34 - name: ekans; abilities: intimidate, shed-skin, unnerve
17.11.2020 17:49:35 - name: charmeleon; abilities: blaze, solar-power
17.11.2020 17:49:36 - name: charizard; abilities: blaze, solar-power
17.11.2020 17:49:36 - name: squirtle; abilities: torrent, rain-dish
17.11.2020 17:49:37 - name: wartortle; abilities: torrent, rain-dish
17.11.2020 17:49:37 - name: blastoise; abilities: torrent, rain-dish
17.11.2020 17:49:38 - name: caterpie; abilities: shield-dust, run-away
17.11.2020 17:49:38 - name: metapod; abilities: shed-skin
17.11.2020 17:49:39 - name: butterfree; abilities: compound-eyes, tinted-lens
17.11.2020 17:49:39 - name: weedle; abilities: shield-dust, run-away
17.11.2020 17:49:39 - name: kakuna; abilities: shed-skin
17.11.2020 17:49:40 - name: beedrill; abilities: swarm, sniper
17.11.2020 17:49:40 - name: pidgey; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 17:49:41 - name: pidgeotto; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 17:49:41 - name: pidgeot; abilities: keen-eye, tangled-feet, big-pecks
17.11.2020 17:49:42 - name: rattata; abilities: run-away, guts, hustle
17.11.2020 17:49:42 - name: raticate; abilities: run-away, guts, hustle
17.11.2020 17:49:43 - name: spearow; abilities: keen-eye, sniper
17.11.2020 17:49:43 - name: fearow; abilities: keen-eye, sniper
17.11.2020 17:49:44 - name: ekans; abilities: intimidate, shed-skin, unnerve
17.11.2020 17:49:44 - name: arbok; abilities: intimidate, shed-skin, unnerve
